Region,Date,Pollutant,Concentration_µg/m³
Mesolongi,2023-02-01,Nitrogen Dioxide (NO₂) µg/m³,3.7074578
Mesolongi,2023-02-02,Nitrogen Dioxide (NO₂) µg/m³,4.4939847
Mesolongi,2023-02-03,Nitrogen Dioxide (NO₂) µg/m³,5.109494
Mesolongi,2023-02-04,Nitrogen Dioxide (NO₂) µg/m³,4.1941853
Mesolongi,2023-02-05,Nitrogen Dioxide (NO₂) µg/m³,2.9685268
Mesolongi,2023-02-06,Nitrogen Dioxide (NO₂) µg/m³,2.5285013
Mesolongi,2023-02-07,Nitrogen Dioxide (NO₂) µg/m³,3.1207714
Mesolongi,2023-02-08,Nitrogen Dioxide (NO₂) µg/m³,2.3725767
Mesolongi,2023-02-09,Nitrogen Dioxide (NO₂) µg/m³,1.9858671
Mesolongi,2023-02-10,Nitrogen Dioxide (NO₂) µg/m³,1.8401461
Mesolongi,2023-02-11,Nitrogen Dioxide (NO₂) µg/m³,2.0173128
Mesolongi,2023-02-12,Nitrogen Dioxide (NO₂) µg/m³,2.8444917
Mesolongi,2023-02-13,Nitrogen Dioxide (NO₂) µg/m³,2.3459034
Mesolongi,2023-02-14,Nitrogen Dioxide (NO₂) µg/m³,3.1776705
Mesolongi,2023-02-15,Nitrogen Dioxide (NO₂) µg/m³,3.163256
Mesolongi,2023-02-16,Nitrogen Dioxide (NO₂) µg/m³,3.534036
Mesolongi,2023-02-17,Nitrogen Dioxide (NO₂) µg/m³,3.1095836
Mesolongi,2023-02-18,Nitrogen Dioxide (NO₂) µg/m³,2.9367173
Mesolongi,2023-02-19,Nitrogen Dioxide (NO₂) µg/m³,2.5733654
Mesolongi,2023-02-20,Nitrogen Dioxide (NO₂) µg/m³,3.8968132
Mesolongi,2023-02-21,Nitrogen Dioxide (NO₂) µg/m³,4.194971
Mesolongi,2023-02-22,Nitrogen Dioxide (NO₂) µg/m³,3.6909988
Mesolongi,2023-02-23,Nitrogen Dioxide (NO₂) µg/m³,4.094259
Mesolongi,2023-02-24,Nitrogen Dioxide (NO₂) µg/m³,3.6890945
Mesolongi,2023-02-25,Nitrogen Dioxide (NO₂) µg/m³,2.9533412
Mesolongi,2023-02-26,Nitrogen Dioxide (NO₂) µg/m³,1.9356722
Mesolongi,2023-02-27,Nitrogen Dioxide (NO₂) µg/m³,3.3649724
Mesolongi,2023-02-28,Nitrogen Dioxide (NO₂) µg/m³,3.595462
Nafplio,2023-02-01,Nitrogen Dioxide (NO₂) µg/m³,4.561189
Nafplio,2023-02-02,Nitrogen Dioxide (NO₂) µg/m³,3.9571724
Nafplio,2023-02-03,Nitrogen Dioxide (NO₂) µg/m³,4.4042764
Nafplio,2023-02-04,Nitrogen Dioxide (NO₂) µg/m³,4.0926147
Nafplio,2023-02-05,Nitrogen Dioxide (NO₂) µg/m³,2.9625542
Nafplio,2023-02-06,Nitrogen Dioxide (NO₂) µg/m³,3.2776973
Nafplio,2023-02-07,Nitrogen Dioxide (NO₂) µg/m³,5.0601525
Nafplio,2023-02-08,Nitrogen Dioxide (NO₂) µg/m³,4.785168
Nafplio,2023-02-09,Nitrogen Dioxide (NO₂) µg/m³,5.601642
Nafplio,2023-02-10,Nitrogen Dioxide (NO₂) µg/m³,4.5093074
Nafplio,2023-02-11,Nitrogen Dioxide (NO₂) µg/m³,3.2112982
Nafplio,2023-02-12,Nitrogen Dioxide (NO₂) µg/m³,3.5342586
Nafplio,2023-02-13,Nitrogen Dioxide (NO₂) µg/m³,3.1459782
Nafplio,2023-02-14,Nitrogen Dioxide (NO₂) µg/m³,3.8433602
Nafplio,2023-02-15,Nitrogen Dioxide (NO₂) µg/m³,5.5398808
