Region,Date,Pollutant,Concentration_µg/m³
Mesolongi,2023-03-01,Nitrogen Dioxide (NO₂) µg/m³,3.824336
Mesolongi,2023-03-02,Nitrogen Dioxide (NO₂) µg/m³,4.441477
Mesolongi,2023-03-03,Nitrogen Dioxide (NO₂) µg/m³,3.859744
Mesolongi,2023-03-04,Nitrogen Dioxide (NO₂) µg/m³,2.3259933
Mesolongi,2023-03-05,Nitrogen Dioxide (NO₂) µg/m³,1.5814723
Mesolongi,2023-03-06,Nitrogen Dioxide (NO₂) µg/m³,2.0456269
Mesolongi,2023-03-07,Nitrogen Dioxide (NO₂) µg/m³,1.9328367
Mesolongi,2023-03-08,Nitrogen Dioxide (NO₂) µg/m³,2.6137488
Mesolongi,2023-03-09,Nitrogen Dioxide (NO₂) µg/m³,2.989871
Mesolongi,2023-03-10,Nitrogen Dioxide (NO₂) µg/m³,2.3623457
Mesolongi,2023-03-11,Nitrogen Dioxide (NO₂) µg/m³,1.8551041
Mesolongi,2023-03-12,Nitrogen Dioxide (NO₂) µg/m³,2.4627366
Mesolongi,2023-03-13,Nitrogen Dioxide (NO₂) µg/m³,2.0852375
Mesolongi,2023-03-14,Nitrogen Dioxide (NO₂) µg/m³,2.7491891
Mesolongi,2023-03-15,Nitrogen Dioxide (NO₂) µg/m³,1.9886936
Mesolongi,2023-03-16,Nitrogen Dioxide (NO₂) µg/m³,2.7755973
Mesolongi,2023-03-17,Nitrogen Dioxide (NO₂) µg/m³,2.3382738
Mesolongi,2023-03-18,Nitrogen Dioxide (NO₂) µg/m³,1.9816184
Mesolongi,2023-03-19,Nitrogen Dioxide (NO₂) µg/m³,2.4639971
Mesolongi,2023-03-20,Nitrogen Dioxide (NO₂) µg/m³,4.2167
Mesolongi,2023-03-21,Nitrogen Dioxide (NO₂) µg/m³,3.6971931
Mesolongi,2023-03-22,Nitrogen Dioxide (NO₂) µg/m³,3.1345532
Mesolongi,2023-03-23,Nitrogen Dioxide (NO₂) µg/m³,2.7157109
Mesolongi,2023-03-24,Nitrogen Dioxide (NO₂) µg/m³,3.4408443
Mesolongi,2023-03-25,Nitrogen Dioxide (NO₂) µg/m³,3.4533412
Mesolongi,2023-03-26,Nitrogen Dioxide (NO₂) µg/m³,2.370079
