Region,Date,Pollutant,Concentration_µg/m³
Mesolongi,2023-04-01,Nitrogen Dioxide (NO₂) µg/m³,1.8468477
Mesolongi,2023-04-02,Nitrogen Dioxide (NO₂) µg/m³,2.8415892
Mesolongi,2023-04-03,Nitrogen Dioxide (NO₂) µg/m³,1.8976674
Mesolongi,2023-04-04,Nitrogen Dioxide (NO₂) µg/m³,1.7073117
Mesolongi,2023-04-05,Nitrogen Dioxide (NO₂) µg/m³,1.4841843
Mesolongi,2023-04-06,Nitrogen Dioxide (NO₂) µg/m³,1.7764691
Mesolongi,2023-04-07,Nitrogen Dioxide (NO₂) µg/m³,1.9363104
Mesolongi,2023-04-08,Nitrogen Dioxide (NO₂) µg/m³,2.2700074
Mesolongi,2023-04-09,Nitrogen Dioxide (NO₂) µg/m³,3.2136295
Mesolongi,2023-04-10,Nitrogen Dioxide (NO₂) µg/m³,2.6308644
Mesolongi,2023-04-11,Nitrogen Dioxide (NO₂) µg/m³,1.661321
Mesolongi,2023-04-12,Nitrogen Dioxide (NO₂) µg/m³,1.9978504
Mesolongi,2023-04-13,Nitrogen Dioxide (NO₂) µg/m³,2.992709
Mesolongi,2023-04-14,Nitrogen Dioxide (NO₂) µg/m³,2.2400925
Mesolongi,2023-04-15,Nitrogen Dioxide (NO₂) µg/m³,1.7432562
Mesolongi,2023-04-16,Nitrogen Dioxide (NO₂) µg/m³,1.7982067
Mesolongi,2023-04-17,Nitrogen Dioxide (NO₂) µg/m³,2.1886103
Mesolongi,2023-04-18,Nitrogen Dioxide (NO₂) µg/m³,1.801392
Mesolongi,2023-04-19,Nitrogen Dioxide (NO₂) µg/m³,1.5098318
Mesolongi,2023-04-20,Nitrogen Dioxide (NO₂) µg/m³,2.3415697
Mesolongi,2023-04-21,Nitrogen Dioxide (NO₂) µg/m³,3.9160595
Mesolongi,2023-04-22,Nitrogen Dioxide (NO₂) µg/m³,3.236974
Mesolongi,2023-04-23,Nitrogen Dioxide (NO₂) µg/m³,2.3343287
Mesolongi,2023-04-24,Nitrogen Dioxide (NO₂) µg/m³,2.2968476
Mesolongi,2023-04-25,Nitrogen Dioxide (NO₂) µg/m³,1.5435125
