Region,Date,Pollutant,Concentration_µg/m³
Mesolongi,2023-09-01,Nitrogen Dioxide (NO₂) µg/m³,2.3583667
Mesolongi,2023-09-02,Nitrogen Dioxide (NO₂) µg/m³,3.1668642
Mesolongi,2023-09-03,Nitrogen Dioxide (NO₂) µg/m³,3.1099136
Mesolongi,2023-09-04,Nitrogen Dioxide (NO₂) µg/m³,2.292723
Mesolongi,2023-09-05,Nitrogen Dioxide (NO₂) µg/m³,1.8529269
Mesolongi,2023-09-06,Nitrogen Dioxide (NO₂) µg/m³,2.0303
Mesolongi,2023-09-07,Nitrogen Dioxide (NO₂) µg/m³,1.7342577
Mesolongi,2023-09-08,Nitrogen Dioxide (NO₂) µg/m³,1.428733
Mesolongi,2023-09-09,Nitrogen Dioxide (NO₂) µg/m³,1.3529253
Mesolongi,2023-09-10,Nitrogen Dioxide (NO₂) µg/m³,1.5032924
Mesolongi,2023-09-11,Nitrogen Dioxide (NO₂) µg/m³,1.7618536
Mesolongi,2023-09-12,Nitrogen Dioxide (NO₂) µg/m³,2.479737
Mesolongi,2023-09-13,Nitrogen Dioxide (NO₂) µg/m³,3.7889488
Mesolongi,2023-09-14,Nitrogen Dioxide (NO₂) µg/m³,4.1590686
Mesolongi,2023-09-15,Nitrogen Dioxide (NO₂) µg/m³,3.986309
Mesolongi,2023-09-16,Nitrogen Dioxide (NO₂) µg/m³,3.6305313
Mesolongi,2023-09-17,Nitrogen Dioxide (NO₂) µg/m³,2.65275
Mesolongi,2023-09-18,Nitrogen Dioxide (NO₂) µg/m³,2.1053932
Mesolongi,2023-09-19,Nitrogen Dioxide (NO₂) µg/m³,3.0033245
Mesolongi,2023-09-20,Nitrogen Dioxide (NO₂) µg/m³,4.568188
Mesolongi,2023-09-21,Nitrogen Dioxide (NO₂) µg/m³,4.3305297
Mesolongi,2023-09-22,Nitrogen Dioxide (NO₂) µg/m³,4.2057953
Mesolongi,2023-09-23,Nitrogen Dioxide (NO₂) µg/m³,4.0492134
Mesolongi,2023-09-24,Nitrogen Dioxide (NO₂) µg/m³,2.6878767
Mesolongi,2023-09-25,Nitrogen Dioxide (NO₂) µg/m³,2.2519448
Mesolongi,2023-09-26,Nitrogen Dioxide (NO₂) µg/m³,2.32067
Mesolongi,2023-09-27,Nitrogen Dioxide (NO₂) µg/m³,2.0538461
Mesolongi,2023-09-28,Nitrogen Dioxide (NO₂) µg/m³,2.7018566
Mesolongi,2023-09-29,Nitrogen Dioxide (NO₂) µg/m³,2.970022
Mesolongi,2023-09-30,Nitrogen Dioxide (NO₂) µg/m³,3.5547163
Nafplio,2023-09-01,Nitrogen Dioxide (NO₂) µg/m³,2.6164796
Nafplio,2023-09-02,Nitrogen Dioxide (NO₂) µg/m³,2.5351734
Nafplio,2023-09-03,Nitrogen Dioxide (NO₂) µg/m³,2.2539878
