Region,Date,Pollutant,Concentration_µg/m³
Mesolongi,2023-10-01,Nitrogen Dioxide (NO₂) µg/m³,3.940923
Mesolongi,2023-10-02,Nitrogen Dioxide (NO₂) µg/m³,3.411709
Mesolongi,2023-10-03,Nitrogen Dioxide (NO₂) µg/m³,2.030598
Mesolongi,2023-10-04,Nitrogen Dioxide (NO₂) µg/m³,2.8739517
Mesolongi,2023-10-05,Nitrogen Dioxide (NO₂) µg/m³,4.3102775
Mesolongi,2023-10-06,Nitrogen Dioxide (NO₂) µg/m³,4.212133
Mesolongi,2023-10-07,Nitrogen Dioxide (NO₂) µg/m³,2.0631332
Mesolongi,2023-10-08,Nitrogen Dioxide (NO₂) µg/m³,2.91443
Mesolongi,2023-10-09,Nitrogen Dioxide (NO₂) µg/m³,3.0900848
Mesolongi,2023-10-10,Nitrogen Dioxide (NO₂) µg/m³,4.169744
Mesolongi,2023-10-11,Nitrogen Dioxide (NO₂) µg/m³,2.0448637
Mesolongi,2023-10-12,Nitrogen Dioxide (NO₂) µg/m³,2.3183994
Mesolongi,2023-10-13,Nitrogen Dioxide (NO₂) µg/m³,3.4489832
Mesolongi,2023-10-14,Nitrogen Dioxide (NO₂) µg/m³,3.4402692
Mesolongi,2023-10-15,Nitrogen Dioxide (NO₂) µg/m³,3.0025625
Mesolongi,2023-10-16,Nitrogen Dioxide (NO₂) µg/m³,3.173076
Mesolongi,2023-10-17,Nitrogen Dioxide (NO₂) µg/m³,2.1911614
Mesolongi,2023-10-18,Nitrogen Dioxide (NO₂) µg/m³,2.5949678
Mesolongi,2023-10-19,Nitrogen Dioxide (NO₂) µg/m³,3.2362728
Mesolongi,2023-10-20,Nitrogen Dioxide (NO₂) µg/m³,4.116085
Mesolongi,2023-10-21,Nitrogen Dioxide (NO₂) µg/m³,3.2627065
Mesolongi,2023-10-22,Nitrogen Dioxide (NO₂) µg/m³,2.613428
Mesolongi,2023-10-23,Nitrogen Dioxide (NO₂) µg/m³,3.64198
Mesolongi,2023-10-24,Nitrogen Dioxide (NO₂) µg/m³,4.88698
Mesolongi,2023-10-25,Nitrogen Dioxide (NO₂) µg/m³,3.6356735
Mesolongi,2023-10-26,Nitrogen Dioxide (NO₂) µg/m³,2.592797
Mesolongi,2023-10-27,Nitrogen Dioxide (NO₂) µg/m³,2.3273613
Mesolongi,2023-10-28,Nitrogen Dioxide (NO₂) µg/m³,2.4742982
Mesolongi,2023-10-29,Nitrogen Dioxide (NO₂) µg/m³,3.533652
Mesolongi,2023-10-30,Nitrogen Dioxide (NO₂) µg/m³,5.1940713
Mesolongi,2023-10-31,Nitrogen Dioxide (NO₂) µg/m³,3.617368
Nafplio,2023-10-01,Nitrogen Dioxide (NO₂) µg/m³,2.7501748
Nafplio,2023-10-02,Nitrogen Dioxide (NO₂) µg/m³,3.3815975
Nafplio,2023-10-03,Nitrogen Dioxide (NO₂) µg/m³,3.102007
Nafplio,2023-10-04,Nitrogen Dioxide (NO₂) µg/m³,3.350153
Nafplio,2023-10-05,Nitrogen Dioxide (NO₂) µg/m³,3.6371727
Nafplio,2023-10-06,Nitrogen Dioxide (NO₂) µg/m³,3.9871273
Nafplio,2023-10-07,Nitrogen Dioxide (NO₂) µg/m³,2.6202178
Nafplio,2023-10-08,Nitrogen Dioxide (NO₂) µg/m³,2.7205544
Nafplio,2023-10-09,Nitrogen Dioxide (NO₂) µg/m³,3.2153957
Nafplio,2023-10-10,Nitrogen Dioxide (NO₂) µg/m³,4.122474
Nafplio,2023-10-11,Nitrogen Dioxide (NO₂) µg/m³,3.9652016
Nafplio,2023-10-12,Nitrogen Dioxide (NO₂) µg/m³,2.570268
Nafplio,2023-10-13,Nitrogen Dioxide (NO₂) µg/m³,3.3259144
Nafplio,2023-10-14,Nitrogen Dioxide (NO₂) µg/m³,3.347473
Nafplio,2023-10-15,Nitrogen Dioxide (NO₂) µg/m³,2.9134235
Nafplio,2023-10-16,Nitrogen Dioxide (NO₂) µg/m³,3.1269157
Nafplio,2023-10-17,Nitrogen Dioxide (NO₂) µg/m³,2.863701
Nafplio,2023-10-18,Nitrogen Dioxide (NO₂) µg/m³,3.0102901
Nafplio,2023-10-19,Nitrogen Dioxide (NO₂) µg/m³,2.799385
Nafplio,2023-10-20,Nitrogen Dioxide (NO₂) µg/m³,4.3693814
Nafplio,2023-10-21,Nitrogen Dioxide (NO₂) µg/m³,3.186416
Nafplio,2023-10-22,Nitrogen Dioxide (NO₂) µg/m³,3.0452492
Nafplio,2023-10-23,Nitrogen Dioxide (NO₂) µg/m³,4.7991786
Nafplio,2023-10-24,Nitrogen Dioxide (NO₂) µg/m³,4.9576917
Nafplio,2023-10-25,Nitrogen Dioxide (NO₂) µg/m³,4.9432454
Nafplio,2023-10-26,Nitrogen Dioxide (NO₂) µg/m³,3.8216407
Nafplio,2023-10-27,Nitrogen Dioxide (NO₂) µg/m³,3.5716922
Nafplio,2023-10-28,Nitrogen Dioxide (NO₂) µg/m³,3.079016
Nafplio,2023-10-29,Nitrogen Dioxide (NO₂) µg/m³,3.3066337
Nafplio,2023-10-30,Nitrogen Dioxide (NO₂) µg/m³,3.9366589
Nafplio,2023-10-31,Nitrogen Dioxide (NO₂) µg/m³,3.8945973
Tripoli,2023-10-01,Nitrogen Dioxide (NO₂) µg/m³,2.360296
Tripoli,2023-10-02,Nitrogen Dioxide (NO₂) µg/m³,2.8267944
Tripoli,2023-10-03,Nitrogen Dioxide (NO₂) µg/m³,2.6667726
Tripoli,2023-10-04,Nitrogen Dioxide (NO₂) µg/m³,3.3254642
Tripoli,2023-10-05,Nitrogen Dioxide (NO₂) µg/m³,3.4241574
Tripoli,2023-10-06,Nitrogen Dioxide (NO₂) µg/m³,3.4315884
Tripoli,2023-10-07,Nitrogen Dioxide (NO₂) µg/m³,2.3732758
Tripoli,2023-10-08,Nitrogen Dioxide (NO₂) µg/m³,2.6580224
Tripoli,2023-10-09,Nitrogen Dioxide (NO₂) µg/m³,2.8556125
Tripoli,2023-10-10,Nitrogen Dioxide (NO₂) µg/m³,3.0545852
Tripoli,2023-10-11,Nitrogen Dioxide (NO₂) µg/m³,2.4122274
Tripoli,2023-10-12,Nitrogen Dioxide (NO₂) µg/m³,2.894514
