Region,Date,Pollutant,Concentration_µg/m³
Mesolongi,2023-11-01,Nitrogen Dioxide (NO₂) µg/m³,2.60443
Mesolongi,2023-11-02,Nitrogen Dioxide (NO₂) µg/m³,2.496022
Mesolongi,2023-11-03,Nitrogen Dioxide (NO₂) µg/m³,2.0091984
Mesolongi,2023-11-04,Nitrogen Dioxide (NO₂) µg/m³,1.5600901
Mesolongi,2023-11-05,Nitrogen Dioxide (NO₂) µg/m³,1.7418165
Mesolongi,2023-11-06,Nitrogen Dioxide (NO₂) µg/m³,2.6010046
Mesolongi,2023-11-07,Nitrogen Dioxide (NO₂) µg/m³,4.285929
Mesolongi,2023-11-08,Nitrogen Dioxide (NO₂) µg/m³,3.7003078
Mesolongi,2023-11-09,Nitrogen Dioxide (NO₂) µg/m³,2.9854972
Mesolongi,2023-11-10,Nitrogen Dioxide (NO₂) µg/m³,3.6451976
Mesolongi,2023-11-11,Nitrogen Dioxide (NO₂) µg/m³,1.2767063
Mesolongi,2023-11-12,Nitrogen Dioxide (NO₂) µg/m³,1.9154348
Mesolongi,2023-11-13,Nitrogen Dioxide (NO₂) µg/m³,2.8434021
Mesolongi,2023-11-14,Nitrogen Dioxide (NO₂) µg/m³,3.9106414
Mesolongi,2023-11-15,Nitrogen Dioxide (NO₂) µg/m³,3.597243
Mesolongi,2023-11-16,Nitrogen Dioxide (NO₂) µg/m³,4.525475
Mesolongi,2023-11-17,Nitrogen Dioxide (NO₂) µg/m³,2.442807
Mesolongi,2023-11-18,Nitrogen Dioxide (NO₂) µg/m³,1.5387292
Mesolongi,2023-11-19,Nitrogen Dioxide (NO₂) µg/m³,2.7875957
Mesolongi,2023-11-20,Nitrogen Dioxide (NO₂) µg/m³,3.728424
Mesolongi,2023-11-21,Nitrogen Dioxide (NO₂) µg/m³,3.516019
Mesolongi,2023-11-22,Nitrogen Dioxide (NO₂) µg/m³,3.0945508
Mesolongi,2023-11-23,Nitrogen Dioxide (NO₂) µg/m³,3.6045742
Mesolongi,2023-11-24,Nitrogen Dioxide (NO₂) µg/m³,3.4075024
Mesolongi,2023-11-25,Nitrogen Dioxide (NO₂) µg/m³,1.3220525
Mesolongi,2023-11-26,Nitrogen Dioxide (NO₂) µg/m³,1.4220794
Mesolongi,2023-11-27,Nitrogen Dioxide (NO₂) µg/m³,2.5927339
Mesolongi,2023-11-28,Nitrogen Dioxide (NO₂) µg/m³,1.6975673
Mesolongi,2023-11-29,Nitrogen Dioxide (NO₂) µg/m³,1.9114313
Mesolongi,2023-11-30,Nitrogen Dioxide (NO₂) µg/m³,3.1932862
Nafplio,2023-11-01,Nitrogen Dioxide (NO₂) µg/m³,3.9734375
Nafplio,2023-11-02,Nitrogen Dioxide (NO₂) µg/m³,3.8780825
Nafplio,2023-11-03,Nitrogen Dioxide (NO₂) µg/m³,2.7708318
Nafplio,2023-11-04,Nitrogen Dioxide (NO₂) µg/m³,2.1070185
Nafplio,2023-11-05,Nitrogen Dioxide (NO₂) µg/m³,2.2552829
Nafplio,2023-11-06,Nitrogen Dioxide (NO₂) µg/m³,3.8835983
Nafplio,2023-11-07,Nitrogen Dioxide (NO₂) µg/m³,3.7226722
Nafplio,2023-11-08,Nitrogen Dioxide (NO₂) µg/m³,4.9663424
Nafplio,2023-11-09,Nitrogen Dioxide (NO₂) µg/m³,4.4499493
Nafplio,2023-11-10,Nitrogen Dioxide (NO₂) µg/m³,4.4181676
Nafplio,2023-11-11,Nitrogen Dioxide (NO₂) µg/m³,2.1409857
Nafplio,2023-11-12,Nitrogen Dioxide (NO₂) µg/m³,2.8527262
Nafplio,2023-11-13,Nitrogen Dioxide (NO₂) µg/m³,3.7853127
Nafplio,2023-11-14,Nitrogen Dioxide (NO₂) µg/m³,5.1704116
Nafplio,2023-11-15,Nitrogen Dioxide (NO₂) µg/m³,4.327498
Nafplio,2023-11-16,Nitrogen Dioxide (NO₂) µg/m³,3.963749
Nafplio,2023-11-17,Nitrogen Dioxide (NO₂) µg/m³,3.2322881
Nafplio,2023-11-18,Nitrogen Dioxide (NO₂) µg/m³,2.3407881
Nafplio,2023-11-19,Nitrogen Dioxide (NO₂) µg/m³,3.2113636
Nafplio,2023-11-20,Nitrogen Dioxide (NO₂) µg/m³,4.476522
Nafplio,2023-11-21,Nitrogen Dioxide (NO₂) µg/m³,4.163588
Nafplio,2023-11-22,Nitrogen Dioxide (NO₂) µg/m³,3.32098
Nafplio,2023-11-23,Nitrogen Dioxide (NO₂) µg/m³,4.83061
Nafplio,2023-11-24,Nitrogen Dioxide (NO₂) µg/m³,4.168297
Nafplio,2023-11-25,Nitrogen Dioxide (NO₂) µg/m³,1.869811
Nafplio,2023-11-26,Nitrogen Dioxide (NO₂) µg/m³,1.7125487
Nafplio,2023-11-27,Nitrogen Dioxide (NO₂) µg/m³,3.4648054
Nafplio,2023-11-28,Nitrogen Dioxide (NO₂) µg/m³,1.9808435
Nafplio,2023-11-29,Nitrogen Dioxide (NO₂) µg/m³,2.328077
Nafplio,2023-11-30,Nitrogen Dioxide (NO₂) µg/m³,4.4395223
Tripoli,2023-11-01,Nitrogen Dioxide (NO₂) µg/m³,2.275346
Tripoli,2023-11-02,Nitrogen Dioxide (NO₂) µg/m³,2.241266
Tripoli,2023-11-03,Nitrogen Dioxide (NO₂) µg/m³,3.0152245
Tripoli,2023-11-04,Nitrogen Dioxide (NO₂) µg/m³,1.7043902
Tripoli,2023-11-05,Nitrogen Dioxide (NO₂) µg/m³,1.6330501
Tripoli,2023-11-06,Nitrogen Dioxide (NO₂) µg/m³,2.118408
Tripoli,2023-11-07,Nitrogen Dioxide (NO₂) µg/m³,4.539902
Tripoli,2023-11-08,Nitrogen Dioxide (NO₂) µg/m³,3.0081654
Tripoli,2023-11-09,Nitrogen Dioxide (NO₂) µg/m³,3.769538
Tripoli,2023-11-10,Nitrogen Dioxide (NO₂) µg/m³,4.0694146
Tripoli,2023-11-11,Nitrogen Dioxide (NO₂) µg/m³,1.8046929
Tripoli,2023-11-12,Nitrogen Dioxide (NO₂) µg/m³,2.2072523
Tripoli,2023-11-13,Nitrogen Dioxide (NO₂) µg/m³,2.662585
Tripoli,2023-11-14,Nitrogen Dioxide (NO₂) µg/m³,2.5947354
Tripoli,2023-11-15,Nitrogen Dioxide (NO₂) µg/m³,1.9066625
Tripoli,2023-11-16,Nitrogen Dioxide (NO₂) µg/m³,4.1539307
Tripoli,2023-11-17,Nitrogen Dioxide (NO₂) µg/m³,2.697075
Tripoli,2023-11-18,Nitrogen Dioxide (NO₂) µg/m³,1.4617065
Tripoli,2023-11-19,Nitrogen Dioxide (NO₂) µg/m³,3.5083287
Tripoli,2023-11-20,Nitrogen Dioxide (NO₂) µg/m³,2.6675627
Tripoli,2023-11-21,Nitrogen Dioxide (NO₂) µg/m³,3.9466598
Tripoli,2023-11-22,Nitrogen Dioxide (NO₂) µg/m³,3.457654
Tripoli,2023-11-23,Nitrogen Dioxide (NO₂) µg/m³,4.295495
Tripoli,2023-11-24,Nitrogen Dioxide (NO₂) µg/m³,3.7809868
Tripoli,2023-11-25,Nitrogen Dioxide (NO₂) µg/m³,1.6527934
