Region,Date,Pollutant,Concentration_µg/m³
Mesolongi,2023-01-01 00:00:00,Ozone (O₃) µg/m³,52.514126
Mesolongi,2023-01-01 08:00:00,Ozone (O₃) µg/m³,63.91071
Mesolongi,2023-01-01 16:00:00,Ozone (O₃) µg/m³,59.608585
Mesolongi,2023-01-02 00:00:00,Ozone (O₃) µg/m³,51.317432
Mesolongi,2023-01-02 08:00:00,Ozone (O₃) µg/m³,61.518707
Mesolongi,2023-01-02 16:00:00,Ozone (O₃) µg/m³,50.265587
Mesolongi,2023-01-03 00:00:00,Ozone (O₃) µg/m³,42.42437
Mesolongi,2023-01-03 08:00:00,Ozone (O₃) µg/m³,58.17227
Mesolongi,2023-01-03 16:00:00,Ozone (O₃) µg/m³,52.270638
Mesolongi,2023-01-04 00:00:00,Ozone (O₃) µg/m³,48.273327
Mesolongi,2023-01-04 08:00:00,Ozone (O₃) µg/m³,62.87666
Mesolongi,2023-01-04 16:00:00,Ozone (O₃) µg/m³,50.3776
Mesolongi,2023-01-05 00:00:00,Ozone (O₃) µg/m³,36.73527
Mesolongi,2023-01-05 08:00:00,Ozone (O₃) µg/m³,54.712326
Mesolongi,2023-01-05 16:00:00,Ozone (O₃) µg/m³,53.43949
Mesolongi,2023-01-06 00:00:00,Ozone (O₃) µg/m³,45.247063
Mesolongi,2023-01-06 08:00:00,Ozone (O₃) µg/m³,61.61767
Mesolongi,2023-01-06 16:00:00,Ozone (O₃) µg/m³,52.628006
Mesolongi,2023-01-07 00:00:00,Ozone (O₃) µg/m³,46.960632
Mesolongi,2023-01-07 08:00:00,Ozone (O₃) µg/m³,60.518314
Mesolongi,2023-01-07 16:00:00,Ozone (O₃) µg/m³,53.012306
Mesolongi,2023-01-08 00:00:00,Ozone (O₃) µg/m³,43.758987
Mesolongi,2023-01-08 08:00:00,Ozone (O₃) µg/m³,63.467186
Mesolongi,2023-01-08 16:00:00,Ozone (O₃) µg/m³,57.63421
Mesolongi,2023-01-09 00:00:00,Ozone (O₃) µg/m³,44.06479
Mesolongi,2023-01-09 08:00:00,Ozone (O₃) µg/m³,65.89615
Mesolongi,2023-01-09 16:00:00,Ozone (O₃) µg/m³,74.19443
Mesolongi,2023-01-10 00:00:00,Ozone (O₃) µg/m³,75.43917
Mesolongi,2023-01-10 08:00:00,Ozone (O₃) µg/m³,75.022644
Mesolongi,2023-01-10 16:00:00,Ozone (O₃) µg/m³,69.65719
Mesolongi,2023-01-11 00:00:00,Ozone (O₃) µg/m³,54.156136
Mesolongi,2023-01-11 08:00:00,Ozone (O₃) µg/m³,63.027676
Mesolongi,2023-01-11 16:00:00,Ozone (O₃) µg/m³,54.1093
Mesolongi,2023-01-12 00:00:00,Ozone (O₃) µg/m³,39.72991
Mesolongi,2023-01-12 08:00:00,Ozone (O₃) µg/m³,57.42032
Mesolongi,2023-01-12 16:00:00,Ozone (O₃) µg/m³,51.386406
Mesolongi,2023-01-13 00:00:00,Ozone (O₃) µg/m³,45.821007
Mesolongi,2023-01-13 08:00:00,Ozone (O₃) µg/m³,64.35689
Mesolongi,2023-01-13 16:00:00,Ozone (O₃) µg/m³,54.46282
Mesolongi,2023-01-14 00:00:00,Ozone (O₃) µg/m³,46.88057
Mesolongi,2023-01-14 08:00:00,Ozone (O₃) µg/m³,62.616478
Mesolongi,2023-01-14 16:00:00,Ozone (O₃) µg/m³,60.356583
Mesolongi,2023-01-15 00:00:00,Ozone (O₃) µg/m³,48.668854
Mesolongi,2023-01-15 08:00:00,Ozone (O₃) µg/m³,62.604305
Mesolongi,2023-01-15 16:00:00,Ozone (O₃) µg/m³,51.8889
Mesolongi,2023-01-16 00:00:00,Ozone (O₃) µg/m³,42.036804
Mesolongi,2023-01-16 08:00:00,Ozone (O₃) µg/m³,68.901535
Mesolongi,2023-01-16 16:00:00,Ozone (O₃) µg/m³,81.70932
Mesolongi,2023-01-17 00:00:00,Ozone (O₃) µg/m³,81.425095
