File,Region,Date,Pollutant,Concentration_µg/m³
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-01,Nitrogen Dioxide (NO₂) µg/m³,1.8468477
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-02,Nitrogen Dioxide (NO₂) µg/m³,2.8415892
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-03,Nitrogen Dioxide (NO₂) µg/m³,1.8976674
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-04,Nitrogen Dioxide (NO₂) µg/m³,1.7073117
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-05,Nitrogen Dioxide (NO₂) µg/m³,1.4841843
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-06,Nitrogen Dioxide (NO₂) µg/m³,1.7764691
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-07,Nitrogen Dioxide (NO₂) µg/m³,1.9363104
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-08,Nitrogen Dioxide (NO₂) µg/m³,2.2700074
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-09,Nitrogen Dioxide (NO₂) µg/m³,3.2136295
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-10,Nitrogen Dioxide (NO₂) µg/m³,2.6308644
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-11,Nitrogen Dioxide (NO₂) µg/m³,1.661321
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-12,Nitrogen Dioxide (NO₂) µg/m³,1.9978504
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-13,Nitrogen Dioxide (NO₂) µg/m³,2.992709
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-14,Nitrogen Dioxide (NO₂) µg/m³,2.2400925
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-15,Nitrogen Dioxide (NO₂) µg/m³,1.7432562
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-16,Nitrogen Dioxide (NO₂) µg/m³,1.7982067
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-17,Nitrogen Dioxide (NO₂) µg/m³,2.1886103
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-18,Nitrogen Dioxide (NO₂) µg/m³,1.801392
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-19,Nitrogen Dioxide (NO₂) µg/m³,1.5098318
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-20,Nitrogen Dioxide (NO₂) µg/m³,2.3415697
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-21,Nitrogen Dioxide (NO₂) µg/m³,3.9160595
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-22,Nitrogen Dioxide (NO₂) µg/m³,3.236974
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-23,Nitrogen Dioxide (NO₂) µg/m³,2.3343287
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-24,Nitrogen Dioxide (NO₂) µg/m³,2.2968476
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-25,Nitrogen Dioxide (NO₂) µg/m³,1.5435125
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-26,Nitrogen Dioxide (NO₂) µg/m³,1.4181587
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-27,Nitrogen Dioxide (NO₂) µg/m³,2.5374646
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-28,Nitrogen Dioxide (NO₂) µg/m³,2.217036
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-29,Nitrogen Dioxide (NO₂) µg/m³,2.8076203
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Mesolongi,2023-04-30,Nitrogen Dioxide (NO₂) µg/m³,2.5902195
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-01,Nitrogen Dioxide (NO₂) µg/m³,1.8824072
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-02,Nitrogen Dioxide (NO₂) µg/m³,2.9267406
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-03,Nitrogen Dioxide (NO₂) µg/m³,3.3721359
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-04,Nitrogen Dioxide (NO₂) µg/m³,2.3276923
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-05,Nitrogen Dioxide (NO₂) µg/m³,2.2503178
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-06,Nitrogen Dioxide (NO₂) µg/m³,2.2958343
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-07,Nitrogen Dioxide (NO₂) µg/m³,2.5377064
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-08,Nitrogen Dioxide (NO₂) µg/m³,2.4955826
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-09,Nitrogen Dioxide (NO₂) µg/m³,2.6545217
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-10,Nitrogen Dioxide (NO₂) µg/m³,2.8506832
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-11,Nitrogen Dioxide (NO₂) µg/m³,2.4178324
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-12,Nitrogen Dioxide (NO₂) µg/m³,2.4267259
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-13,Nitrogen Dioxide (NO₂) µg/m³,2.9688165
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-14,Nitrogen Dioxide (NO₂) µg/m³,2.7539198
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-15,Nitrogen Dioxide (NO₂) µg/m³,2.530361
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-16,Nitrogen Dioxide (NO₂) µg/m³,2.373728
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-17,Nitrogen Dioxide (NO₂) µg/m³,2.0705373
cams.eaq.ira.ENSa.no2.l0.2023-04.nc,Nafplio,2023-04-18,Nitrogen Dioxide (NO₂) µg/m³,2.798051
