File,Region,Date,Pollutant,Concentration_µg/m³
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-01,Nitrogen Dioxide (NO₂) µg/m³,3.7074578
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-02,Nitrogen Dioxide (NO₂) µg/m³,4.4939847
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-03,Nitrogen Dioxide (NO₂) µg/m³,5.109494
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-04,Nitrogen Dioxide (NO₂) µg/m³,4.1941853
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-05,Nitrogen Dioxide (NO₂) µg/m³,2.9685268
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-06,Nitrogen Dioxide (NO₂) µg/m³,2.5285013
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-07,Nitrogen Dioxide (NO₂) µg/m³,3.1207714
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-08,Nitrogen Dioxide (NO₂) µg/m³,2.3725767
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-09,Nitrogen Dioxide (NO₂) µg/m³,1.9858671
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-10,Nitrogen Dioxide (NO₂) µg/m³,1.8401461
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-11,Nitrogen Dioxide (NO₂) µg/m³,2.0173128
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-12,Nitrogen Dioxide (NO₂) µg/m³,2.8444917
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-13,Nitrogen Dioxide (NO₂) µg/m³,2.3459034
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-14,Nitrogen Dioxide (NO₂) µg/m³,3.1776705
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-15,Nitrogen Dioxide (NO₂) µg/m³,3.163256
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-16,Nitrogen Dioxide (NO₂) µg/m³,3.534036
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-17,Nitrogen Dioxide (NO₂) µg/m³,3.1095836
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-18,Nitrogen Dioxide (NO₂) µg/m³,2.9367173
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-19,Nitrogen Dioxide (NO₂) µg/m³,2.5733654
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-20,Nitrogen Dioxide (NO₂) µg/m³,3.8968132
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-21,Nitrogen Dioxide (NO₂) µg/m³,4.194971
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-22,Nitrogen Dioxide (NO₂) µg/m³,3.6909988
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-23,Nitrogen Dioxide (NO₂) µg/m³,4.094259
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-24,Nitrogen Dioxide (NO₂) µg/m³,3.6890945
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-25,Nitrogen Dioxide (NO₂) µg/m³,2.9533412
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-26,Nitrogen Dioxide (NO₂) µg/m³,1.9356722
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-27,Nitrogen Dioxide (NO₂) µg/m³,3.3649724
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Mesolongi,2023-02-28,Nitrogen Dioxide (NO₂) µg/m³,3.595462
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-01,Nitrogen Dioxide (NO₂) µg/m³,4.561189
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-02,Nitrogen Dioxide (NO₂) µg/m³,3.9571724
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-03,Nitrogen Dioxide (NO₂) µg/m³,4.4042764
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-04,Nitrogen Dioxide (NO₂) µg/m³,4.0926147
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-05,Nitrogen Dioxide (NO₂) µg/m³,2.9625542
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-06,Nitrogen Dioxide (NO₂) µg/m³,3.2776973
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-07,Nitrogen Dioxide (NO₂) µg/m³,5.0601525
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-08,Nitrogen Dioxide (NO₂) µg/m³,4.785168
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-09,Nitrogen Dioxide (NO₂) µg/m³,5.601642
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-10,Nitrogen Dioxide (NO₂) µg/m³,4.5093074
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-11,Nitrogen Dioxide (NO₂) µg/m³,3.2112982
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-12,Nitrogen Dioxide (NO₂) µg/m³,3.5342586
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-13,Nitrogen Dioxide (NO₂) µg/m³,3.1459782
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-14,Nitrogen Dioxide (NO₂) µg/m³,3.8433602
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-15,Nitrogen Dioxide (NO₂) µg/m³,5.5398808
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-16,Nitrogen Dioxide (NO₂) µg/m³,4.102421
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-17,Nitrogen Dioxide (NO₂) µg/m³,4.3690853
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-18,Nitrogen Dioxide (NO₂) µg/m³,3.2081738
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-19,Nitrogen Dioxide (NO₂) µg/m³,2.9661782
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-20,Nitrogen Dioxide (NO₂) µg/m³,3.8826416
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-21,Nitrogen Dioxide (NO₂) µg/m³,4.543743
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-22,Nitrogen Dioxide (NO₂) µg/m³,4.1978345
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-23,Nitrogen Dioxide (NO₂) µg/m³,3.9792392
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-24,Nitrogen Dioxide (NO₂) µg/m³,4.3074827
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-25,Nitrogen Dioxide (NO₂) µg/m³,3.4385555
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-26,Nitrogen Dioxide (NO₂) µg/m³,1.3583084
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-27,Nitrogen Dioxide (NO₂) µg/m³,3.057131
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Nafplio,2023-02-28,Nitrogen Dioxide (NO₂) µg/m³,6.9678817
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-01,Nitrogen Dioxide (NO₂) µg/m³,3.7019994
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-02,Nitrogen Dioxide (NO₂) µg/m³,2.447635
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-03,Nitrogen Dioxide (NO₂) µg/m³,4.289994
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-04,Nitrogen Dioxide (NO₂) µg/m³,2.3883412
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-05,Nitrogen Dioxide (NO₂) µg/m³,2.4602659
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-06,Nitrogen Dioxide (NO₂) µg/m³,3.0050201
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-07,Nitrogen Dioxide (NO₂) µg/m³,3.2593422
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-08,Nitrogen Dioxide (NO₂) µg/m³,2.9035063
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-09,Nitrogen Dioxide (NO₂) µg/m³,2.997629
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-10,Nitrogen Dioxide (NO₂) µg/m³,2.0924656
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-11,Nitrogen Dioxide (NO₂) µg/m³,2.7845833
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-12,Nitrogen Dioxide (NO₂) µg/m³,2.8008635
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-13,Nitrogen Dioxide (NO₂) µg/m³,2.28588
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-14,Nitrogen Dioxide (NO₂) µg/m³,4.418838
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-15,Nitrogen Dioxide (NO₂) µg/m³,3.8319798
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-16,Nitrogen Dioxide (NO₂) µg/m³,3.3674972
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-17,Nitrogen Dioxide (NO₂) µg/m³,2.2836115
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-18,Nitrogen Dioxide (NO₂) µg/m³,1.867302
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-19,Nitrogen Dioxide (NO₂) µg/m³,1.3576931
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-20,Nitrogen Dioxide (NO₂) µg/m³,3.0895672
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-21,Nitrogen Dioxide (NO₂) µg/m³,2.7753632
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-22,Nitrogen Dioxide (NO₂) µg/m³,2.5488899
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-23,Nitrogen Dioxide (NO₂) µg/m³,4.0500693
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-24,Nitrogen Dioxide (NO₂) µg/m³,3.6144955
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-25,Nitrogen Dioxide (NO₂) µg/m³,2.4113715
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-26,Nitrogen Dioxide (NO₂) µg/m³,1.69281
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-27,Nitrogen Dioxide (NO₂) µg/m³,3.435239
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Tripoli,2023-02-28,Nitrogen Dioxide (NO₂) µg/m³,4.0996547
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-01,Nitrogen Dioxide (NO₂) µg/m³,7.3377266
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-02,Nitrogen Dioxide (NO₂) µg/m³,6.6769204
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-03,Nitrogen Dioxide (NO₂) µg/m³,6.5767326
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-04,Nitrogen Dioxide (NO₂) µg/m³,5.250117
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-05,Nitrogen Dioxide (NO₂) µg/m³,4.3818054
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-06,Nitrogen Dioxide (NO₂) µg/m³,4.3473153
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-07,Nitrogen Dioxide (NO₂) µg/m³,5.1143937
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-08,Nitrogen Dioxide (NO₂) µg/m³,3.459364
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-09,Nitrogen Dioxide (NO₂) µg/m³,2.373957
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-10,Nitrogen Dioxide (NO₂) µg/m³,3.1085253
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-11,Nitrogen Dioxide (NO₂) µg/m³,4.9918876
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-12,Nitrogen Dioxide (NO₂) µg/m³,4.8658147
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-13,Nitrogen Dioxide (NO₂) µg/m³,4.573784
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-14,Nitrogen Dioxide (NO₂) µg/m³,6.821257
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-15,Nitrogen Dioxide (NO₂) µg/m³,6.279091
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-16,Nitrogen Dioxide (NO₂) µg/m³,6.1776834
cams.eaq.ira.ENSa.no2.l0.2023-02.nc,Arta,2023-02-17,Nitrogen Dioxide (NO₂) µg/m³,6.4360833
