File,Region,Date,Pollutant,Concentration_µg/m³
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-01,Nitrogen Dioxide (NO₂) µg/m³,3.824336
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-02,Nitrogen Dioxide (NO₂) µg/m³,4.441477
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-03,Nitrogen Dioxide (NO₂) µg/m³,3.859744
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-04,Nitrogen Dioxide (NO₂) µg/m³,2.3259933
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-05,Nitrogen Dioxide (NO₂) µg/m³,1.5814723
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-06,Nitrogen Dioxide (NO₂) µg/m³,2.0456269
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-07,Nitrogen Dioxide (NO₂) µg/m³,1.9328367
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-08,Nitrogen Dioxide (NO₂) µg/m³,2.6137488
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-09,Nitrogen Dioxide (NO₂) µg/m³,2.989871
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-10,Nitrogen Dioxide (NO₂) µg/m³,2.3623457
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-11,Nitrogen Dioxide (NO₂) µg/m³,1.8551041
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-12,Nitrogen Dioxide (NO₂) µg/m³,2.4627366
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-13,Nitrogen Dioxide (NO₂) µg/m³,2.0852375
cams.eaq.ira.ENSa.no2.l0.2023-03.nc,Mesolongi,2023-03-14,Nitrogen Dioxide (NO₂) µg/m³,2.7491891
