File,Region,Date,Pollutant,Concentration_µg/m³
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-01,Nitrogen Dioxide (NO₂) µg/m³,3.940923
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-02,Nitrogen Dioxide (NO₂) µg/m³,3.411709
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-03,Nitrogen Dioxide (NO₂) µg/m³,2.030598
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-04,Nitrogen Dioxide (NO₂) µg/m³,2.8739517
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-05,Nitrogen Dioxide (NO₂) µg/m³,4.3102775
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-06,Nitrogen Dioxide (NO₂) µg/m³,4.212133
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-07,Nitrogen Dioxide (NO₂) µg/m³,2.0631332
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-08,Nitrogen Dioxide (NO₂) µg/m³,2.91443
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-09,Nitrogen Dioxide (NO₂) µg/m³,3.0900848
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-10,Nitrogen Dioxide (NO₂) µg/m³,4.169744
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-11,Nitrogen Dioxide (NO₂) µg/m³,2.0448637
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-12,Nitrogen Dioxide (NO₂) µg/m³,2.3183994
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-13,Nitrogen Dioxide (NO₂) µg/m³,3.4489832
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-14,Nitrogen Dioxide (NO₂) µg/m³,3.4402692
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-15,Nitrogen Dioxide (NO₂) µg/m³,3.0025625
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-16,Nitrogen Dioxide (NO₂) µg/m³,3.173076
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-17,Nitrogen Dioxide (NO₂) µg/m³,2.1911614
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-18,Nitrogen Dioxide (NO₂) µg/m³,2.5949678
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-19,Nitrogen Dioxide (NO₂) µg/m³,3.2362728
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-20,Nitrogen Dioxide (NO₂) µg/m³,4.116085
cams.eaq.ira.ENSa.no2.l0.2023-10.nc,Mesolongi,2023-10-21,Nitrogen Dioxide (NO₂) µg/m³,3.2627065
