Region,Date,Pollutant,Concentration_µg/m³
Mesolongi,2024-02-01 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.333491
Mesolongi,2024-02-02 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,6.606331
Mesolongi,2024-02-03 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.6378715
Mesolongi,2024-02-04 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.7454
Mesolongi,2024-02-05 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,5.282127
Mesolongi,2024-02-06 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,5.2624083
Mesolongi,2024-02-07 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.437013
Mesolongi,2024-02-08 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.6487741
Mesolongi,2024-02-09 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.396946
Mesolongi,2024-02-10 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.2992284
Mesolongi,2024-02-11 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.7980019
Mesolongi,2024-02-12 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.441765
Mesolongi,2024-02-13 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.5646045
Mesolongi,2024-02-14 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.4018226
Mesolongi,2024-02-15 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.629425
Mesolongi,2024-02-16 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.094604
Mesolongi,2024-02-17 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.0532117
Mesolongi,2024-02-18 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.2106156
Mesolongi,2024-02-19 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,5.387483
Mesolongi,2024-02-20 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.2143197
Mesolongi,2024-02-21 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.9018514
Mesolongi,2024-02-22 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.8538074
Mesolongi,2024-02-23 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.9019773
Mesolongi,2024-02-24 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.6963308
Mesolongi,2024-02-25 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.71247
Mesolongi,2024-02-26 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.1703906
Mesolongi,2024-02-27 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.6840816
Mesolongi,2024-02-28 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.3479395
Mesolongi,2024-02-29 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.1680343
Nafplio,2024-02-01 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.144662
Nafplio,2024-02-02 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,5.8820043
Nafplio,2024-02-03 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.5782857
